title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis	created	deposited	published.print	doi	indexed	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	type	volume	published.online	update.policy	language	short.container.title	isbn	archive	subtitle	archive_	na.
Evaluation of pelvic floor muscle strength and its correlation with sexual function in primigravid and non‐pregnant women: A cross‐sectional study	10.1002/nau.23353	http://dx.doi.org/10.1002/nau.23353	0733-2467	Neurourology and Urodynamics	Marília Duarte Santos			2017	1502108821	0	0	0	0	2	0	2	0	2	0	75	1	FALSE	Marília Duarte Santos, Vanessa Pinho Palmezoni, Luiza Torelli, Vanessa Santos Pereira Baldon, Marair Gracio Ferreira Sartori, Ana Paula Magalhães Resende	0733-2467	6	4.5	0.683	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hip, Knee, and Ankle Functional Demand During Habitual and Fast-Pace Walking in Younger and Older Women.	10.1123/japa.2017-0351	http://dx.doi.org/10.1123/japa.2017-0351	1063-8652	Journal of Aging & Physical Activity	Deborah Hebling Spinoso			2018	1554840060	0	0	0	0	1	0	1	0	1	0	32	1	FALSE	Deborah Hebling Spinoso, Nise Ribeiro Marques, Dain Patrick LaRoche, Camilla Zamfollini Hallal, Aline Harumi Karuka, Fernanda Cristina Milanezi, Mauro Gonçalves	1063-8652	9	3.0	0.509	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Identification and Characterization of Short-Term Motor Patterns in Rest Tremor of Individuals with Parkinson’s Disease	10.3390/healthcare10122536	http://dx.doi.org/10.3390/healthcare10122536	2227-9032	Healthcare	Amanda Rabelo			2022	1671797413	0	0	0	0	2	0	2	0	2	0	6	2	TRUE	Amanda Rabelo, João Paulo Folador, Ariana Moura Cabral, Viviane Lima, Ana Paula Arantes, Luciane Sande, Marcus Fraga Vieira, Rodrigo Maximiano Antunes de Almeida, Adriano de Oliveira Andrade	2227-9032	3	4.9	0.606	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Immediate effect of mental practice with and without mirror therapy on muscle activation in hemiparetic stroke patients	10.1016/j.jbmt.2016.12.010	http://dx.doi.org/10.1016/j.jbmt.2016.12.010	1360-8592	Journal of Bodywork & Movement Therapies	Tamise Aguiar Caires			2016	1482811760	0	0	0	0	1	0	1	0	1	0	131	1	FALSE	Tamise Aguiar Caires, Luciane Fernanda Rodrigues Martinho Fernandes, Lislei Jorge Patrizzi, Rafael de Almeida Oliveira, Luciane Aparecida Pascucci Sande de Souza	1360-8592	1	2.5	0.48	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Increased flexibility, pain reduction and unaltered levels of IL-10 and CD11b + lymphocytes in patients with systemic lupus erythematosus were associated with kinesiotherapy	10.1177/0961203318768880	http://dx.doi.org/10.1177/0961203318768880	0961-2033	Lupus	R Pessato Timóteo			2018	1526472309	0	0	0	0	1	0	1	0	1	0	32	1	FALSE	R Pessato Timóteo, A Ferreira Silva, D Côbo Micheli, E F Candido Murta, M Freire, R Botelho Teodoro, F M Lima, B Martins Tavares Murta, D Bertoncello	0961-2033	12	4.3	0.812	A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Increased strength of the scapular stabilizer and lumbar muscles after twelve weeks of Pilates training using the Reformer machine: A pilot study	10.1016/j.jbmt.2016.05.005	http://dx.doi.org/10.1016/j.jbmt.2016.05.005	1360-8592	Journal of Bodywork & Movement Therapies	Núbia Tomain Otoni dos Santos			2016	1711782079	0	0	0	8	24	0	10	0	19	0	111	80	FALSE	Núbia Tomain Otoni dos Santos, Karoline Cipriano Raimundo, Sheila Aparecida da Silva, Lara Andrade Souza, Karoline Carregal Ferreira, Zuleika Ferreira Borges Santo Urbano, Andréa Licre Pessina Gasparini, Dernival Bertoncello	1360-8592	4	2.5	0.48	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Influence of Aerobic Training on The Mechanics of Ventricular Contraction After Acute Myocardial Infarction: A Pilot Study	10.5935/abc.20180049	http://dx.doi.org/10.5935/abc.20180049	0066-782X	Arquivos Brasileiros de Cardiologia	Giovani Luiz De Santi			2018	1538529286	0	0	0	0	1	0	1	0	1	0	56	1	TRUE	Giovani Luiz De Santi, Henrique Turin Moreira, Eduardo Elias Vieira de Carvalho, Júlio César Crescêncio, André Schmidt, José Antônio Marin-Neto, Lourenço Gallo-Júnior	0066-782X	5	3.4	0.363	B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Influence of personal mastery on mobility disability among older adults: A systematic review	10.1016/j.archger.2022.104750	http://dx.doi.org/10.1016/j.archger.2022.104750	0167-4943	Archives of Gerontology & Geriatrics	Mariana Thays Carvalho Moreira			2022	1654990262	0	0	0	0	1	0	1	0	1	0	19	1	FALSE	Mariana Thays Carvalho Moreira, Cintia Sulino Gomes, Juliana Martins Pinto	0167-4943	3	6.8	1.054	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Intensive blood pressure reduction with intravenous thrombolysis therapy for acute ischaemic stroke (ENCHANTED): an international, randomised, open-label, blinded-endpoint, phase 3 trial	10.1016/s0140-6736(19)30038-8	http://dx.doi.org/10.1016/s0140-6736(19)30038-8	0140-6736	The Lancet	Craig S Anderson			2019	1623229759	7	1	0	35	184	0	124	0	168	0	348	352	TRUE	Craig S Anderson, Yining Huang, Richard I Lindley, Xiaoying Chen, Hisatomi Arima, Guofang Chen, Qiang Li, Laurent Billot, Candice Delcourt, Philip M Bath, Joseph P Broderick, Andrew M Demchuk, Geoffrey A Donnan, Alice C Durham, Pablo M Lavados, Tsong-Hai Lee, Christopher Levi, Sheila O Martins, Veronica V Olavarria, Jeyaraj D Pandian, Mark W Parsons, Octavio M Pontes-Neto, Stefano Ricci, Shoichiro Sato, Vijay K Sharma, Federico Silva, Lili Song, Nguyen H Thang, Joanna M Wardlaw, Ji-Guang Wang, Xia Wang, Mark Woodward, John Chalmers, Thompson G Robinson, Craig S. Anderson, Yining Huang, Richard I. Lindley, Xiaoying Chen, Hisatomi Arima, Guofang Chen, Qiang Li, Laurent Billot, Candice Delcourt, Philip M. Bath, Joseph P. Broderick, Andrew M. Demchuk, Geoffrey A. Donnan, Alice C. Durham, Pablo M. Lavados, Tsong-Hai Lee, Christopher Levi, Sheila O. Martins, Veronica V. Olavarria, Jeyaraj D. Pandian, Mark W. Parsons, Octavio M. Pontes-Neto, Stefano Ricci, Shoichiro Sato, Vijay K. Sharma, Federico Silva, Lili Song, Nguyen H. Thang, Joanna M. Wardlaw, Ji-Guang Wang, Xia Wang, Mark Woodward, John Chalmers, Thompson G. Robinson, Jong S. Kim, Christian Stapf, R. John Simes, Graeme J. Hankey, Peter Sandercock, Marie-Germaine Bousser, K.S. Lawrence Wong, Anish Scaria, Yoichiro Hirakawa, Tom J. Moullaali, Cheryl Carcel, Penny Gordon, Sully X. Fuentes-Patarroyo, Dino Benito, Ruiqi Chen, Yongjun Cao, Amy Kunchok, Stephen Winters, Shelagh Coutts, Sohei Yoshimura, Shoujiang You, Jie Yang, Guojun Wu, Shihong Zhang, Lisa Manning, Amit Mistri, Victoria Haunton, Jatinder Minhas, Alejandra Malavera, Joyce Lim, Leibo Liu, Namrata N. Kumar, Nicole Tay, Kerry Jenson, Sarah Richtering, Sharon Tucker, Elizabeth Knight, Elizaveta Ivanova, Emma Thembani, Elizabeth Odgers, Elizabeth Sanders, Sabrina Small, Ruchita Vaghasiya, Manuela Armenis, Paul Donnelly, Merza A. Baig, Nick Blacklock, Bala Naidu, Helen Monaghan, Phillipa Smith, Parisa Glass, Xuejie Bai, Qiancheng Li, Pingping Zhu, Liang Kong, Ruihong He, He Zhao, Jiajie Lv, Haijing Jia, Zhen Xi, Yuhan Cong, Buliang Cui, Hua Deng, Ying Guo, Lingyu He, Ruolan Jia, Nan Li, Wei Li, Mengxiao Liu, Meng Zhang, Ziwei Xu, Ting Zhang, Yan Zhao, Philip Gregory, Yunjeong In, Su J. Kim, Jung E. Ahn, Sul H. Kim, Young L. Hong, Francisca González-McCawley, Magda C.O. Martins, Bernardita Portales, Ching-Yi Wang, Shan-Jen Ryu, Hardeep Aujla, Sue Lewin, Tracy Kumar, Sara Barrows, Ahtasam Ebraimo, Hong H. Uyen, Nguyen A. Giang, Le T.M. Linh, Le T.T. An, M. Phuong, Pham V.B. Ngoc, Nguyen M. Hang, Nguyen T.B. Tran, Ha T.T. Hien, Mai B. Yen, Ngo T.B. Tram, Tran T.T. Truc, Nguyen A. Hoa, Nguyen T.B. Thuan, Ha T.K. Oanh, Deepti Arora, Shweta J. Verma, M. Krause, M. Priglinger, S. Day, S. Jala, L. Davies, E. Ray, S. Celestino, L.Y. Law, T. Wijeratne, G. Ng, K. Nagao, G. Weiss, N. Titton, C. Batista, D. Zãn, L. Carbonera, K. Ferreira, R. Castro, R.K. Martins Filho, M. Carvalho, M. Libardi, G. Martins, D. Fagundes, G. Baron, A. Boehringer, J. Barbosa, R. Bazan, G. Braga, G. Luvizutto, P. Ribeiro, F. Winckler, C. Moro, A. Longo, R. Liberato, R. Barbosa, P. Magalhães, M. Portal, K. Martin, A. Souza, D. Cuervo, D. Perin, L. Marques, F. Oliveira, M. Battaglini, F. Lourenço, K. Ferreira, G. Silva, L. Duarte, M. Alves, J. Sousa, M. Uhehara, A. Brunser, E. Mazzón, M. Spencer, I. Acosta, A. Rojo, R. Rivas, C. Klapp, L. Carvallo, P. Carvallo, E. Mansilla, J. Flores, M. Alvarado, A. Herrera, C. Reyes, F. Jurado, G. Bustamante, L. Bravo, J.M. Matamala, R. Guerrero, S. Zhou, L. Ping, W. Liu, L. Liu, Y. Tian, H. Xu, J. Wang, L. Wang, Z. Zhen, X. Wang, J. Zhang, M. Yan, Y. Wang, Q. Zhang, X. Tao, C. Liu, J. Shi, X. Zhang, L. Tai, L. Xu, H. Lu, H. Nie, X. Li, J. Zhou, Y. Liu, P. Gong, Y. Tian, H. Zhao, Z. Zhang, R. Li, D. Wang, Q. Chen, Y. Li, L. Wu, A. Zhang, L. Jia, X. Guo, J. Li, G. Chen, B. Lin, W. Zhu, K. Yang, Y. Zhang, H. Zhang, C. Xie, D. Wu, F. Zhang, F. Li, S. Wang, D. Liu, Z. Liu, L. Liang, Q. Cao, S. Zhang, J. Xia, G. Li, Y. Weng, L. Li, T. Xu, D. Geng, X. Yan, H. Wang, N. Zhao, W Li, B. Wang, Z. Tang, L. Wang, W. Yin, S. Wang, D. Wang, W. Huang, Y. Yang, A. Song, Y. Hao, A. Zhang, B. Qiao, J. Yang, H. Yan, X. Wei, Z. Tao, H. Liu, Y. Lv, H. Yang, L. Han, X. Mao, L. Ge, Y. Zhang, S. He, Q. Zhang, H. Zhao, J. Jiang, M. Yan, F. Liu, W. Wu, H. Wang, Y. Wang, L. Yang, Y. Tang, H. Sun, S. Li, G. Li, Y. Sun, H. Zhang, Y. Wu, L. Huang, C. Geng, Z. Jin, J. Zhu, F. Zhang, Y. Zhang, Z. Zhang, R. Zheng, H. Shen, J. Liu, C. Chen, G. Li, S. Chen, L. Zhou, B. Hu, Z. Zou, X. Liu, X. Zhang, X. Chang, D. Wang, S. Zhang, Q. Huang, S. Liu, C.F. Liu, W. He, J. Feng, L. Li, X. Chen, X. Zhuang, Y. Liu, W. Zheng, Y. Lai, Y. Zhou, H. Duan, Q. Cao, Q. Yang, J. Du, Q Lin, E. Xu, L. Zhan, L. Yang, Y.C. Huang, J. Wu, X. Feng, C. Wei, J. He, B. Wang, X. Liu, W Li, P Chen, F Guo, H Dai, M Dai, X. Zeng, D. Wang, B. Chen, F. Long, Q. Su, Y. Wang, B. Bao, T. Wu, X. Wu, Y. Shao, H. Nie, X. Zhang, S. Li, Y. Xu, J.A. Castellanos, M. Muñoz-Collazos, E. Solano, W.H.T. Leung, S. Sureshbabu, S.N. Sharma, S. George, S. Shekhar, S. Singla, L. Saini, - Sunita, M. Kate, R. Sarvotham, A.G. William, A. Deepak, M. BK, R. Benny, V. Bolegave, M. Basle, S. Gore, P. George, S. Kumaravelu, S. Rahamath, P.G. Raj, A.R. Devi, A. Sharma, J. Prajapati, M. Parmar, D. Patel, T. Panchal, S.P. Gorthi, V. Prabhu, A. Prabhu, V. Chandran, A. Chatterjee, R. Nair, V.K. Nambiar, D. TS, S. TP, V. Ajai, S. Paul, P.C. Natarajan, D. Chittibabu, N.C. Borah, M. Ghose, N. Choudhury, P. Gohain, K. Kalita, D. Duberkar, N. Pawar, R. Bhaviskar, E. Caterbi, S. Cenciarelli, R. Condurso, E. Gallinella, L. Greco, C. Marando, S. Mastrocola, A. Mattioni, E. Sacchini, I. Sicilia, A. Gallina, D. Giannandrea, E. Marsili, T. Mazzoli, C. Padiglioni, F. Corea, A. Guidubaldi, S. Micheli, M. Barbi, J. Kim, H.J. Song, H.S. Jeong, J.G. Lim, S.M. Park, K.B. Lee, H.W. Hwang, S.U. Kwon, D.W. Kang, Y.J. Kim, B.J. Kim, J.M. Park, K. Kang, B. Kim, O. Kwon, Y.W. Kim, J.J. Lee, Y.H. Hwang, H.S. Kwon, J. Koo, K. Lee, T. Kim, A. Ahn, J.H. Rha, H.K. Park, C.W. Yoon, B. Chan, H.L. Teoh, P. Paliwal, L.Y.J. Wong, J.T. Chen, D.A. De Silva, H.M. Chang, N. Fabiaña, J. Marti, R. Delgado, A. Martínez, L. Prats, P. Camps, C.W. Liou, T.Y. Tan, C.F. Liu, H.H. Cheng, H.L. Po, Y.J. Lin, C.L. Chou, C.H. Lin, C.C. Yen, Y.T. Chang, Y.T. Hsu, J.D. Lee, M. Lee, Y.C. Huang, C.Y. Wu, Y.C. Huang, N.C. Suwanwela, A. Chutinet, Y. Likitjaroen, D. Roongpiboonsopit, S. Charnwut, A. Dyker, M. Hossain, G.K. Muddegowda, R. Sanyal, C. Roffe, I. Natarajan, K. Finney, L. Sztriha, J. Teo, F.K. Chan, J. Lim, B. Chitando, B. Clarke, B. Patel, U. Khan, R. Ghatala, S. Trippier, L. Kalra, D. Manawadu, N. Sikondari, J. Aeron-Thomas, W. Sunman, G. Wilkes, C. Richardson, A. Buch, B. Jackson, O. Halse, S. Mashate, P. Wilding, V. Nguyen, M.R. Qadiri, K. Rashed, S. Board, C. Buckley, C. Smith, M. James, S. Keenan, A. Bouring, T. England, R. Donnelly, J. Scott, M. Maddula, J. Beavan, R. Perry, N. Francia, C. Watchhurst, A. Banaras, A. Ashton, A. Mistri, K. Musarrat, D. Eveson, J. Kallingal, J. Perez, L. Harrison, T. Marsden, J. Furnace, R. Clarke, J. Reid, E. Warburton, M.J. Macleod, J. Mitchell, D. Day, N. Church, E. Amis, C. Price, H. Rodgers, R. Whiting, M. Hussain, M. Harvey, S. Brown, J. Foot, D. Tryambake, D. Broughton, A. Bergin, A. Annamalai, L. Dixon, N. Weir, C. Blank, K. Harkness, A. Ali, E. Richards, K. Stocks, D.W. Bruce, M. Wani, T. Anjum, M. Krishnan, T. Nguyen Huy, A. Truong Le Tuan, L. Dam Thi Cam, T. Ngo Thi Kim, B. Pham Nguyen, A. Nguyen Dat, C. Nguyen Van, T. Mai Duy, P. Dao Viet, D. Nguyen Tien, T. Vo Van, K. Le Kim, T. Bui Ngoc, T. Tran Le Thanh, S. Nguyen Hoanh, S. Pham Phuoc, T. Tran Van, B. Doan Thi, H. Nguyen Thi Thu, M. Nguyen Duy, D. Ngo Van	0140-6736	174	133.2	12.113	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Key Role of α-Toxin in Fatal Pneumonia Caused by Staphylococcus aureus Sequence Type 398	10.1164/rccm.201506-1225le	http://dx.doi.org/10.1164/rccm.201506-1225le	1073-449X	American Journal of Respiratory & Critical Care Medicine	Mariana F Bonesso			2016	1465202270	0	0	0	0	1	0	1	0	1	0	36	1	TRUE	Mariana F Bonesso, Anthony J Yeh, Amer E Villaruz, Hwang-Soo Joo, Joshua McCausland, Carlos M C B Fortaleza, Ricardo S Cavalcante, Moises T Sobrinho, Carlos F Ronchi, Gordon Y C Cheung, Maria L R S Cunha, Michael Otto	1073-449X	19	28.7	5.336	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mat Pilates training and blood pressure reactivity responses to psychological stress: comparison between normotensive and hypertensive postmenopausal women	10.1097/mbp.0000000000000601	http://dx.doi.org/10.1097/mbp.0000000000000601	1359-5237	Blood pressure monitoring.	Ludimila Ferreira Gonçalves			2022	1710291190	0	1	0	4	5	0	0	0	5	0	19	37	FALSE	Ludimila Ferreira Gonçalves, Jaqueline Pontes Batista, Julia Buiatte Tavares, Tállita Cristina Ferreira de Souza, Igor Moraes Mariano, Ana Luiza Amaral, Mateus de Lima Rodrigues, Guilherme Morais Puga	1359-5237	5	1.7	0.345	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mat Pilates training reduces blood pressure in both well-controlled hypertensive and normotensive postmenopausal women: a controlled clinical trial study	10.1080/10641963.2022.2079670	http://dx.doi.org/10.1080/10641963.2022.2079670	1064-1963	Clinical & Experimental Hypertension	Jaqueline Pontes Batista			2022	1654083888	0	0	0	0	1	0	1	0	1	0	28	1	FALSE	Jaqueline Pontes Batista, Julia Buiatte Tavares, Ludimila Ferreira Gonçalves, Tállita Cristina Ferreira de Souza, Igor Moraes Mariano, Ana Luiza Amaral, Mateus de Lima Rodrigues, Larissa Aparecida Santos Matias, Ana Paula Magalhães Resende, Guilherme Morais Puga	1064-1963	5	3.6	0.448	B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Muscular weakness represents the main limiting factor of walk, functional independence and quality of life of myelopathy patients associated to HTLV-1	10.1590/0004-282x20160019	http://dx.doi.org/10.1590/0004-282x20160019	0004-282X	Arquivos de Neuro-Psiquiatria	Renata Costa Caiafa			2016	1490649360	1	0	0	0	2	0	1	0	2	0	85	1	TRUE	Renata Costa Caiafa, Marco Orsini, Lilian R. Felicio, Marzia Puccioni-Sohler	0004-282X	15	2.1	0.341	B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Music-based physical therapy in Parkinson's disease: An approach based on international Classification of Functioning, Disability and Health	10.1016/j.jbmt.2020.08.015	http://dx.doi.org/10.1016/j.jbmt.2020.08.015	1360-8592	Journal of Bodywork & Movement Therapies	Luana Katlen da Silva			2020	1621297322	0	0	0	0	4	0	4	0	4	0	93	3	FALSE	Luana Katlen da Silva, Thanielle Souza Silva Brito, Luciane Aparecida Pascucci Sande de Souza, Gustavo José Luvizutto	1360-8592	7	2.5	0.48	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
No Improvement in Running Time to Exhaustion at 100% VO2max in Recreationally Active Male Runners With a Preexercise Single-Carbohydrate Mouth Rinse.	10.1123/ijspp.2018-0624	http://dx.doi.org/10.1123/ijspp.2018-0624	1555-0265	International Journal of Sports Physiology and Performance	Luana T Rossato			2019	1549036723	0	0	0	0	1	0	1	0	1	0	51	1	FALSE	Luana T Rossato, Camila T M Fernandes, Públio F Vieira, Flávia M S de Branco, Paula C Nahas, Guilherme M Puga, Erick P de Oliveira	1555-0265	3	6.1	1.388	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non‐invasive Brain Stimulation Can Reduce Unilateral Spatial Neglect after Stroke: ELETRON Trial	10.1002/ana.26430	http://dx.doi.org/10.1002/ana.26430	0364-5134	Annals of Neurology	Taís Regina da Silva			2022	1658166968	0	0	0	0	12	0	10	0	10	0	33	7	FALSE	Taís Regina da Silva, Hélio Rubens de Carvalho Nunes, Laís Geronutti Martins, Rafael Dalle Molle da Costa, Juli Thomaz de Souza, Fernanda Cristina Winckler, Lorena Cristina Alvarez Sartor, Gabriel Pinheiro Modolo, Natalia Cristina Ferreira, Josiela Cristina da Silva Rodrigues, Rafael Kanda, Marcelo Ortolani Fogarolli, Guilherme Ferreira Borges, Gabriela Rizzo Soares Rizzatti, Priscila Watson Ribeiro, Diandra B. Favoretto, Luan R. Aguiar dos Santos, Silméia Garcia Zanati Bazan, Luiz Eduardo Betting, Leticia Cláudia de Oliveira Antunes, Vitor Mendes Pereira, Taiza G. S. Edwards, Octávio Marques Pontes‐Neto, Adriana Bastos Conforto, Rodrigo Bazan, Gustavo José Luvizutto	0364-5134	8	18.4	3.6	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Noninvasive Brain Stimulations for Unilateral Spatial Neglect after Stroke: A Systematic Review and Meta-Analysis of Randomized and Nonrandomized Controlled Trials	10.1155/2018/1638763	http://dx.doi.org/10.1155/2018/1638763	2090-5904	Neural Plasticity	Flávio Taira Kashiwagi			2018	1532773913	0	0	0	0	2	0	2	0	2	0	162	1	TRUE	Flávio Taira Kashiwagi, Regina El Dib, Huda Gomaa, Nermeen Gawish, Erica Aranha Suzumura, Taís Regina da Silva, Fernanda Cristina Winckler, Juli Thomaz de Souza, Adriana Bastos Conforto, Gustavo José Luvizutto, Rodrigo Bazan	2090-5904	28	5.7	0.852	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nonpharmacological labor pain management methods and risk of cesarean birth: A retrospective cohort study	10.1111/birt.12617	http://dx.doi.org/10.1111/birt.12617	0730-7659	Birth: Issues in Perinatal Care	Vanessa A. D. S. Rodrigues			2022	1647428485	1	0	0	0	16	0	9	0	10	0	35	7	FALSE	Vanessa A. D. S. Rodrigues, Yahn R. Abreu, Camila A. G. Santos, Alan F. Gatti, Gabriella M. Murer, Bárbara D. R. Gontijo, Juliana S. Alves, Thayna M. Cunha, Vivian Mara G. O. Azevedo, Tânia M. S. Mendonça, Helena B. M. S. Paro	0730-7659	2	5.1	1.127	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Objective Assessment of Bradykinesia Estimated from the Wrist Extension in Older Adults and Patients with Parkinson’s Disease	10.1007/s10439-017-1908-3	http://dx.doi.org/10.1007/s10439-017-1908-3	0090-6964	Annals of Biomedical Engineering	Amanda Gomes Rabelo			2017	1505425626	0	0	0	0	2	0	2	0	2	0	87	2	FALSE	Amanda Gomes Rabelo, Lucio Pereira Neves, Ana Paula S. Paixão, Fábio Henrique Monteiro Oliveira, Luciane Aparecida Pascucci Sande de Souza, Marcus Fraga Vieira, Adriano A. Pereira, Adriano O. Andrade	0090-6964	32	7.7	0.751	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxigenoterapia inalatória em idosos internados em um hospital público	10.1590/1809-98232016019.140208	http://dx.doi.org/10.1590/1809-98232016019.140208	1809-9823	Revista Brasileira de Geriatria e Gerontologia	Mariana Colombini Buranello			2016	1477765320	1	0	0	0	1	0	0	0	1	0	13	1	TRUE	Mariana Colombini Buranello, Suraya Gomes Novais Shimano, Lislei Jorge Patrizzi	1809-9823	0	NA	NA	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Postural Control during Different Unipodal Positions in Professional Ballet Dancers	10.12678/1089-313x.21.4.151	http://dx.doi.org/10.12678/1089-313x.21.4.151	1089-313X	Journal of Dance Medicine & Science	Michelle Costa de Mello			2017	1646046708	1	0	0	0	2	0	1	0	2	0	73	1	FALSE	Michelle Costa de Mello, Arthur de Sá Ferreira, Lilian Ramiro Felicio	1089-313X	29	1.5	0.401	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prolonged dipyridamole administration reduces myocardial perfusion defects in experimental chronic Chagas cardiomyopathy	10.1007/s12350-018-1198-7	http://dx.doi.org/10.1007/s12350-018-1198-7	1071-3581	Journal of Nuclear Cardiology	Denise Mayumi Tanaka			2018	1517694033	0	0	0	0	4	0	4	0	4	0	21	3	FALSE	Denise Mayumi Tanaka, Luciano Fonseca Lemos de Oliveira, José Antônio Marin-Neto, Minna Moreira Dias Romano, Eduardo Elias Vieira de Carvalho, Antonio Carlos Leite de Barros Filho, Fernando Fonseca França Ribeiro, Jorge Mejia Cabeza, Carla Duque Lopes, Camila Godoy Fabricio, Norival Kesper, Henrique Turin Moreira, Lauro Wichert-Ana, André Schmidt, Maria de Lourdes Higuchi, Edécio Cunha-Neto, Marcus Vinícius Simões	1071-3581	9	4.8	0.954	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Redox Status of Postmenopausal Women with Single or Multiple Cardiometabolic Diseases Has a Similar Response to Mat Pilates Training	10.3390/antiox11081445	http://dx.doi.org/10.3390/antiox11081445	2076-3921	Antioxidants	Ana Luiza Amaral			2022	1658871465	0	0	0	0	1	0	1	0	1	0	15	1	TRUE	Ana Luiza Amaral, Jaqueline Pontes Batista, Igor Moraes Mariano, Ludimila Ferreira Gonçalves, Júlia Buiatte Tavares, Adriele Vieira de Souza, Douglas C. Caixeta, Renata R. Teixeira, Erick P. de Oliveira, Foued S. Espindola, Guilherme Morais Puga	2076-3921	1	8.8	1.222	B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
